aquastatElement,Definitions,,,
4349,Harvested irrigated temporary crop area: Millet,,,
4350,Harvested irrigated temporary crop area: Sorghum,,,
4351,Harvested irrigated temporary crop area: Other cereals,,,
4352,Harvested irrigated temporary crop area: Potatoes,,,
4353,Harvested irrigated temporary crop area: Sweet Potatoes,,,
4354,Harvested irrigated temporary crop area: Cassava,,,
4355,Harvested irrigated temporary crop area: Other roots and tubers,,,
4356,Harvested irrigated permanent crop area: Plantains,,,
4357,Harvested irrigated temporary crop area: Sugarcane,,,
4358,Harvested irrigated temporary crop area: Sugar beet,,,
4359,Harvested irrigated temporary crop area: Leguminous crops,,,
4360,Harvested irrigated temporary crop area: Vegetables,,,
4361,Harvested irrigated permanent crop area: Bananas,,,
4362,Harvested irrigated permanent crop area: Citrus,,,
4363,Harvested irrigated permanent crop area: Cocoa beans,,,
4364,Harvested irrigated permanent crop area: Coffee,,,
4365,Harvested irrigated permanent crop area: Tea,,,
4366,Harvested irrigated temporary crop area: tobacco,,,
4367,Harvested irrigated temporary crop area: Cotton,,,
4368,Harvested irrigated permanent crop area: Rubber,,,
4369,Harvested irrigated temporary crop area: Fodder,,,
4370,Harvested irrigated permanent crop area: Oil palm,,,
4371,Harvested irrigated temporary crop area: Soybeans,,,
4372,Harvested irrigated temporary crop area: Groundnuts,,,
4373,Harvested irrigated temporary crop area: Sunflower,,,
4374,Harvested irrigated temporary crop area: Sesame,,,
4375,Harvested irrigated permanent crop area: Coconuts,,,
4376,Harvested irrigated temporary crop area: Flowers,,,
4377,Harvested irrigated temporary crop area: Other crops,,,
4378,Harvested irrigated permanent crop area: Other crops,,,
4379,Total harvested irrigated crop area (full control irrigation),,,
4400,Area salinized by irrigation,,,
4401,Area waterlogged by irrigation,,,
4402,Area waterlogged not irrigated,,,
4403,Population affected by water related disease,,,
4410,Irrigated crop yield: Wheat,,,
4411,Irrigated crop yield: Rice,,,
4412,Irrigated crop yield: Barley,,,
4413,Irrigated crop yield: Maize,,,
4414,Irrigated crop yield: Millet,,,
4415,Irrigated crop yield: Sorghum,,,
4416,Irrigated crop yield: Other cereals,,,
4417,Irrigated crop yield: Potatoes,,,
4418,Irrigated crop yield: Sweet potatoes,,,
4419,Irrigated crop yield: Cassava,,,
4420,Irrigated crop yield: Other roots and tubers,,,
4421,Irrigated crop yield: Plantain,,,
4422,Irrigated crop yield: Sugar cane,,,
4423,Irrigated crop yield: Sugar beet,,,
4424,Irrigated crop yield: Pulses,,,
4425,Irrigated crop yield: Vegetables,,,
4426,Irrigated crop yield: Bananas,,,
4427,Irrigated crop yield: Citrus,,,
4428,Irrigated crop yield: Cocoa beans,,,
4429,Irrigated crop yield: Coffee,,,
4430,Irrigated crop yield: Tea,,,
4431,Irrigated crop yield: Tobacco,,,
4432,Irrigated crop yield: Cotton,,,
4433,Irrigated crop yield: Rubber,,,
4434,Irrigated crop yield: Fodder,,,
4435,Irrigated crop yield: Oil palm,,,
