Element,ElementName,domain,dataset,,measuredElementCode,Source link,
4319,% of agricultural water managed area equipped for irrigation,Aquastat,aquastat,,4319,,
4320,Area equipped for irrigation by groundwater,Aquastat,aquastat,,4320,,
4321,Area equipped for irrigation by surface water,Aquastat,aquastat,,4321,,
4322,Area equipped for irrigation by mixed surface water and groundwater,Aquastat,aquastat,,4322,,
4323,% of area equipped for irrigation by groundwater ,Aquastat,aquastat,,4323,,
4324,% of area equipped for irrigation by surface water,Aquastat,aquastat,,4324,,
4325,% of area equipped for irrigation by mixed surface water and groundwater,Aquastat,aquastat,,4325,,
4326,Area equipped for power irrigation (surface water or groundwater),Aquastat,aquastat,,4326,,
4327,% of area equipped for irrigation power irrigated,Aquastat,aquastat,,4327,,
4328,% of the area equipped for irrigation actually irrigated,Aquastat,aquastat,,4328,,
4330,% of irrigation potential equipped for irrigation,Aquastat,aquastat,,4330,,
4331,% of the cultivated area equipped for irrigation,Aquastat,aquastat,,4331,,
4379,Total harvested irrigated crop area (full control irrigation),Aquastat,aquastat,,4379,,
4400,Area salinized by irrigation,Aquastat,aquastat,,4400,,
4445,% of area equipped for irrigation salinized,Aquastat,aquastat,,4445,,
4446,% of area equipped for irrigation drained,Aquastat,aquastat,,4446,,
4448,Other agricultural water managed area,Aquastat,aquastat,,4448,,
4449,Population economically active,,,FAOSTAT (Employment),4449,ILO,http://www.ilo.org/ilostat/faces/oracle/webcenter/portalapp/pagehierarchy/Page27.jspx?subject=EMP&indicator=EMP_TEMP_SEX_AGE_GEO_NB&datasetCode=A&collectionCode=YI&_afrLoop=10396293062935&_afrWindowMode=0&_afrWindowId=toifke1zk_42#!%40%40%3Findicator%3DEMP_TEMP_SEX_AGE_GEO_NB%26_afrWindowId%3Dtoifke1zk_42%26subject%3DEMP%26_afrLoop%3D10396293062935%26datasetCode%3DA%26collectionCode%3DYI%26_afrWindowMode%3D0%26_adf.ctrl-state%3Dtoifke1zk_107
4450,Freshwater withdrawal as % of internal renewable water resources,Aquastat,aquastat,,4450,,
4451,Direct use of agricultural drainage water,Aquastat,aquastat,,4451,,
