geographicAreaM49	timePointYears	Value_4103	Value_4101	Value_4102	Value_4105	Value_4104	Value_4106	Value_4107	Value_4100	Value_4160	Value_4162	Value_4168	Value_4108	Value_4109	Value_4110	Value_4150	Value_4155	Value_4157	Value_4154	Value_4156	Value_4158	Value_4164	Value_4176	Value_4174	Value_4182	Value_4452	Value_4185	Value_4187	Value_4188	Value_4190	Value_4192	Value_4509	Value_4193	Value_4194	Value_4196	Value_4195	Value_4253	Value_4251	Value_4252	Value_4250	Value_4254	Value_4255	Value_4256	Value_4257	Value_4263	Value_4264	Value_4265	Value_4451	Value_4271	Value_4260	Value_4273	Value_4275	Value_4300	Value_4303	Value_4304	Value_4305	Value_4311	Value_4308	Value_4309	Value_4310	Value_4313	Value_4312	Value_4316	Value_4317	Value_4314	Value_4315	Value_4319	Value_4323	Value_4320	Value_4324	Value_4321	Value_4325	Value_4322	Value_4327	Value_4326	Value_4328	Value_4318	Value_4330	Value_4307	Value_4331	Value_4445	Value_4400	Value_4446	Value_4448	Value_4450	Value_4455	Value_4454	Value_4457	Value_4458	Value_4112	Value_4459	Value_4462	Value_4379	Value_4461	Value_4463	Value_4464	Value_4466	Value_4465	Value_4467	Value_4468	Value_4470	Value_4471	Value_4197	Value_4514	Value_4513	Value_4531	Value_4532	Value_4538	Value_4449	Value_4550	Value_4549	Value_4551	Value_4552	Value_4553	Value_4554	Value_4548	Value_4555	Value_4546	Value_4547	Value_4556	Value_4557	Imputation
Bosnia and Herzegovina	1972	0	0	0	2666	4301	1635	83.99	5121	2	0	0	201	81	120	52.64	34.34	35.5	11.57	10.41	8254	2	2	0	2	0	36.34	11.57	37.5	8719	5.333	NA	NA	NA	NA	NA	0.3341	NA	NA	NA	NA	NA	NA	87.01	0.3341	NA	NA	NA	NA	NA	NA	0.8909	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	2	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.197	NA	NA	NA	NA	0.9411	NA	NA	NA	971.6	3670000000	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	19.53	770.6	2.912	NA	NA	NA	NA	10.22	1967	1.461	14.63	NA	NA	NA	NA	643000000	NA	926000000	1450000000	NA	1.778	Yes
Bosnia and Herzegovina	1977	0	0	0	2666	4301	1635	83.99	5121	2	0	0	201	81	120	52.64	34.34	35.5	11.57	10.41	8254	2	2	0	2	0	36.34	11.57	37.5	8719	5.333	NA	NA	NA	NA	NA	0.3341	NA	NA	NA	NA	NA	NA	87.01	0.3341	NA	NA	NA	NA	NA	NA	0.8909	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	2	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.197	NA	NA	NA	NA	0.9411	NA	NA	NA	971.6	3670000000	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	19.53	770.6	2.912	NA	NA	NA	NA	10.22	1967	1.461	14.63	NA	NA	NA	NA	643000000	NA	926000000	1450000000	NA	1.778	Yes
Bosnia and Herzegovina	1982	0	0	0	2666	4301	1635	83.99	5121	2	0	0	201	81	120	52.64	34.34	35.5	11.57	10.41	8254	2	2	0	2	0	36.34	11.57	37.5	8719	5.333	NA	NA	NA	NA	NA	0.3341	NA	NA	NA	NA	NA	NA	87.01	0.3341	NA	NA	NA	NA	NA	NA	0.8909	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	2	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.197	NA	NA	NA	NA	0.9411	NA	NA	NA	971.6	3670000000	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	19.53	770.6	2.912	NA	NA	NA	NA	10.22	1967	1.461	14.63	NA	NA	NA	NA	643000000	NA	926000000	1450000000	NA	1.778	Yes
Bosnia and Herzegovina	1987	0	0	0	2666	4301	1635	83.99	5121	2	0	0	201	81	120	52.64	34.34	35.5	11.57	10.41	8254	2	2	0	2	0	36.34	11.57	37.5	8719	5.333	NA	NA	NA	NA	NA	0.3341	NA	NA	NA	NA	NA	NA	87.01	0.3341	NA	NA	NA	NA	NA	NA	0.8909	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	2	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.197	NA	NA	NA	NA	0.9411	NA	NA	NA	971.6	3670000000	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	19.53	770.6	2.912	NA	NA	NA	NA	10.22	1967	1.461	14.63	NA	NA	NA	NA	643000000	NA	926000000	1450000000	NA	1.778	Yes
Bosnia and Herzegovina	1992	1000	850	150	2666	4301	1635	83.99	5121	2	0	0	201	81	120	52.64	34.34	35.5	11.57	10.41	8254	2	2	0	2	0	36.34	11.57	37.5	8719	5.333	NA	NA	NA	NA	NA	0.3341	NA	NA	NA	NA	NA	NA	87.01	0.3341	NA	NA	NA	NA	NA	NA	0.8909	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	2	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.197	NA	NA	NA	NA	0.9411	NA	NA	NA	971.6	3670000000	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	19.53	770.6	2.912	NA	NA	NA	NA	10.22	1967	1.461	14.63	NA	NA	NA	NA	643000000	NA	926000000	1450000000	NA	1.778	Yes
Bosnia and Herzegovina	1995	1007.5	875	132.5	2526.5	4040	1513.5	78.89	5121	2	0	0	162	65	97	52.64	34.34	35.5	11.57	10.41	8824	2	2	0	2	0	36.34	11.57	37.5	9321	5.333	NA	NA	NA	NA	NA	0.3341	NA	NA	NA	NA	NA	NA	87.01	0.3341	NA	NA	NA	NA	NA	NA	0.8909	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	2	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.197	NA	NA	NA	NA	0.9411	NA	NA	NA	971.6	3670000000	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	19.675	770.6	2.912	NA	NA	NA	NA	8.571	1872	1.461	14.63	NA	NA	NA	NA	643000000	NA	926000000	1450000000	NA	1.778	Yes
Bosnia and Herzegovina	1997	1015	900	115	2387	3779	1392	73.79	5121	2	0	0	123	49	74	52.64	34.34	35.5	11.57	10.41	9394	2	2	0	2	0	36.34	11.57	37.5	9923	5.333	NA	NA	NA	NA	NA	0.3341	NA	NA	NA	NA	NA	NA	87.01	0.3341	NA	NA	NA	NA	NA	NA	0.8909	NA	NA	NA	NA	NA	NA	NA	NA	2.5	NA	NA	2.5	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.23575	NA	NA	NA	NA	0.9411	NA	NA	NA	971.6	3670000000	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	19.82	767.65	2.912	NA	NA	NA	NA	6.922	1777	1.461	14.63	NA	NA	NA	NA	643000000	NA	926000000	1450000000	NA	1.778	Yes
Bosnia and Herzegovina	2000	1054	948.5	105.5	2332.5	3793.5	1461	74.075	5121	2	0	0	106	42.5	63.5	52.64	34.34	35.5	11.57	10.41	9358	2	2	0	2	0	36.34	11.57	37.5	9885.5	5.333	NA	NA	NA	NA	NA	0.3341	NA	NA	NA	NA	NA	NA	87.01	0.3341	NA	NA	NA	NA	NA	NA	0.8909	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	3	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2745	NA	NA	NA	NA	0.9411	NA	NA	NA	1359.3	5160000000	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	20.58	764.7	2.912	NA	NA	NA	NA	5.7515	1860	1.461	14.63	NA	NA	NA	NA	596500000	NA	1053000000	2585000000	NA	1.778	Yes
Bosnia and Herzegovina	2002	1093	997	96	2278	3808	1530	74.36	5121	2	0	0	89	36	53	52.64	34.34	35.5	11.57	10.41	9322	2	2	0	2	0	36.34	11.57	37.5	9848	5.333	NA	NA	NA	NA	NA	0.3341	NA	NA	NA	NA	NA	NA	87.01	0.3341	NA	NA	NA	NA	NA	NA	0.8909	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	3	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2745	NA	NA	NA	NA	0.9411	NA	NA	NA	1747	6650000000	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	21.34	761.5	2.912	NA	NA	NA	NA	4.581	1943	1.461	14.63	NA	NA	NA	NA	550000000	NA	1180000000	3720000000	NA	1.778	Yes
Bosnia and Herzegovina	2005	1101	1005.333333	95.66666667	2293.666667	3818.666667	1525	74.57	5121	2	0	0	78.66666667	32	46.66666667	52.64	34.34	35.5	11.57	10.41	9296.333333	2	2	0	2	0	36.34	11.57	37.5	9820.666667	5.333	NA	NA	NA	NA	NA	0.3341	NA	NA	NA	NA	NA	NA	87.01	0.3341	NA	NA	NA	NA	NA	NA	0.8909	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	3	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2745	NA	NA	NA	NA	0.9411	NA	NA	NA	2534	9700000000	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	21.49666667	758.3	2.912	NA	NA	NA	NA	4.064666667	1933	1.461	14.63	NA	NA	NA	NA	770000000	NA	1926666667	5100000000	NA	1.778	Yes
