"geographicAreaM49","ts_length","count_NA_raw","count_NA_imp","share_NA_raw","share_NA_imp","num_imp_values"
"Afghanistan",1890,1648,0,87.1957671957672,0,242
"Aland Islands",756,720,456,95.2380952380952,60.3174603174603,36
"Albania",1638,1396,0,85.2258852258852,0,242
"Algeria",1827,1532,0,83.8533114395183,0,295
"Antigua and Barbuda",1575,1379,0,87.5555555555556,0,196
"Argentina",1953,1700,0,87.0455709165387,0,253
"Armenia",819,632,0,77.1672771672772,0,187
"Australia",2331,2064,0,88.5456885456885,0,267
"Belarus",1071,919,0,85.8076563958917,0,152
"Bhutan",1071,838,51,78.2446311858077,4.76190476190476,233
"Bolivia (Plurinational State of)",1890,1643,60,86.9312169312169,3.17460317460317,247
"Bosnia and Herzegovina",1071,946,76,88.328664799253,7.09617180205415,125
"Brazil",2016,1754,0,87.0039682539683,0,262
"Cameroon",1575,1315,50,83.4920634920635,3.17460317460317,260
"Canada",2268,2018,504,88.9770723104056,22.2222222222222,250
"Central African Republic",1008,759,208,75.2976190476191,20.6349206349206,249
"Chad",1071,812,0,75.8169934640523,0,259
"Chile",2205,1963,490,89.0249433106576,22.2222222222222,242
"China",1953,1626,0,83.2565284178187,0,327
"Colombia",2016,1778,0,88.1944444444444,0,238
"Djibouti",1323,1090,0,82.3885109599395,0,233
"Dominica",1260,1096,300,86.984126984127,23.8095238095238,164
"Dominican Republic",1827,1586,0,86.8089764641489,0,241
"Faroe Islands",882,781,322,88.5487528344671,36.5079365079365,101
"Fiji",1638,1391,52,84.9206349206349,3.17460317460317,247
"Finland",1827,1574,58,86.152162014231,3.17460317460317,253
"France",2205,1882,0,85.3514739229025,0,323
"Gabon",1323,1074,273,81.1791383219955,20.6349206349206,249
"Israel",2079,1780,0,85.6180856180856,0,299
"Italy",1953,1669,0,85.4582693292371,0,284
"Japan",1953,1659,0,84.9462365591398,0,294
"Jordan",1890,1567,0,82.9100529100529,0,323
"Malaysia",1953,1701,62,87.0967741935484,3.17460317460317,252
"Maldives",1197,965,285,80.6182121971596,23.8095238095238,232
"Mauritania",1449,1206,0,83.2298136645963,0,243
"Niger",1764,1519,0,86.1111111111111,0,245
"Nigeria",1764,1505,0,85.3174603174603,0,259
"Niue",819,720,299,87.9120879120879,36.5079365079365,99
"Romania",1827,1515,0,82.9228243021346,0,312
"Russian Federation",1071,939,0,87.6750700280112,0,132
"Saint Lucia",1260,1090,380,86.5079365079365,30.1587301587302,170
"Samoa",1071,951,391,88.7955182072829,36.5079365079365,120
"Sao Tome and Principe",1449,1299,414,89.648033126294,28.5714285714286,150
